,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
86,86,86,I.,Sourikova,"GreaterEuropean,EastEuropean",7.871498e-05,0.00017865906,0.0006350447,0.00014888043,0.005555859,0.0015764014,0.9733435,0.014904707,0.0011957124,0.00023043925,0.00043645274,0.0008119019,0.00090362004,2000
87,87,87,D.,Morrison,"GreaterEuropean,British",0.0009588534,0.0017845739,0.0047849403,0.002740401,0.0017974345,0.8515375,0.01178029,0.06159668,0.02019604,0.0017546278,0.019551659,0.018905625,0.002611348,2000
88,88,88,Adeyemi,Adesanya,"GreaterAfrican,Africans",0.00020479727,0.00072535576,0.0006955524,0.98702735,0.0006579965,0.0056891576,0.0006014724,0.0005985121,0.0017397105,0.0004476002,0.0010621637,0.0004895477,6.0788865e-05,2000
89,89,89,Tofigh,Azemoon,"GreaterAfrican,Muslim",0.005629845,0.0026519776,0.1295143,0.04125257,0.5822565,0.1088694,0.004435113,0.052630667,0.004095223,0.0006311573,0.039038006,0.015846081,0.0131491395,2000
90,90,90,Jacek,Becla,"GreaterEuropean,EastEuropean",0.005510855,0.0022680652,0.007233268,0.024244763,0.036411267,0.25568065,0.36167136,0.19615048,0.021160299,0.023961712,0.023745785,0.034781087,0.007180415,2000
91,91,91,Andrew,Hanushevsky,"GreaterEuropean,EastEuropean",0.001042915,0.0037637434,0.0013016555,0.0009981967,0.0050187646,0.034571797,0.58870924,0.34832978,0.0027372364,0.00049896934,0.0065113786,0.0027596059,0.0037567022,2000
92,92,92,Adil,Hasan,"GreaterAfrican,Muslim",0.0033427686,0.00083549775,0.09476178,0.026301993,0.68004084,0.080156706,0.01635355,0.059673805,0.013079309,0.0037494241,0.010779205,0.0040582586,0.006866803,2000
93,93,93,Wilko,Kroeger,"GreaterEuropean,WestEuropean,Germanic",0.0008267519,0.00385578,0.002745212,0.0047242995,0.0005209815,0.0052867504,0.01041966,0.01539738,0.0040543387,0.8326345,0.07971167,0.024891166,0.014931481,2000
94,94,94,Artem,Trunov,"GreaterEuropean,EastEuropean",0.00021081792,0.0002229928,0.00062749605,0.00045010445,0.044878658,0.0064117284,0.9071232,0.029559985,0.000782566,0.0013186152,0.00078755687,0.0020881707,0.0055381325,2000
95,95,95,Daniel,Wang,"Asian,GreaterEastAsian,EastAsian",0.98076254,0.0005931446,0.00013879962,0.00016528687,3.387104e-05,0.0095239105,0.0017366592,0.0011255655,0.0018892237,0.0013142782,0.001264081,0.00077274925,0.0006797733,2000
